Student,LPIPS,SSIM
112590003.png,0.0,1.0
112590012.png,0.15866094827651978,0.7891772527923382
112590056.png,0.18646828830242157,0.8256301731687224
112590036.png,0.23354536294937134,0.7963434579874993
112590059.png,0.245366632938385,0.777900098294953
112590029.png,0.25617706775665283,0.8168117472029648
112590041.png,0.2653779685497284,0.7439048064417572
112590038.png,0.26754680275917053,0.7752169891851629
112590007.png,0.284372478723526,0.7482017584222523
112590060.png,0.2862762212753296,0.7695676844471363
111332012.png,0.3317974805831909,0.7452299450804748
110590041.png,0.33229702711105347,0.7065073095167893
112590033.png,0.3338613212108612,0.7372757711537642
112590009.png,0.3792612850666046,0.6787415115056327
112590023.png,0.3941862881183624,0.7437637910520399
110590456.png,0.4101243019104004,0.6987029757855473
112590005.png,0.41298139095306396,0.6860668891793456
112590030.png,0.43477264046669006,0.6574361860602225
112590035.png,0.44745659828186035,0.6782654992770821
112590057.png,0.45935577154159546,0.625729904486746
112590026.png,0.46341827511787415,0.6694791756587275
110820009.png,0.4758673906326294,0.6676304227107609
112590021.png,0.4791516959667206,0.6444761080374574
112590052.png,0.5271400213241577,0.5628725894388256
112590024.png,0.5700145363807678,0.5897019757824108
112590018.png,0.5791947841644287,0.509208203816378
112590053.png,0.5811228156089783,0.5510798626718131
